name,address
阿嬤魷魚羹小吃店,臺北市中山區民權東路2段152巷18號
銘記食品行,臺北市內湖區新明路263號
宜信餐廳,臺北市中山區中山北路1段83巷16之3號及16之4號
俞香商行,臺北市信義區永吉路270號
隆城號,臺北市萬華區廣州街94號
珍旺小吃店,臺北市松山區興安街196號1樓
瀟湘圓私家菜館,臺北市中正區中華路2段75巷19之1號1樓
田園早餐店,臺北市士林區福華路130號1樓
富四季割烹餐館,臺北市中山區遼寧街185巷7弄15號
金城小吃店,臺北市大同區長安西路157號
關渡漢堡屋,臺北市北投區知行路300號
佳家咖哩餐坊,臺北市內湖區江南街113號
金華築地壽司本舖,臺北市大安區金華街243巷9號
康樂小吃店,臺北市內湖區康樂街119號
貳拾玖號館義大利麵,臺北市大安區瑞安街67號之1號
軒禾早餐店,臺北市信義區福德街268巷2之2號
安達小吃店,臺北市大安區基隆路2段138號
津豚小吃店,臺北市中正區寧波西街76之1號
桔梗小吃店,臺北市大安區信義路3段150之2號1樓
克里斯餐館,臺北市文山區木柵路1段123號
十九號廚房,臺北市北投區致遠一路1段19號1樓
志緯漢堡店,臺北市大安區通化街207號
江田屋,臺北市內湖區成功路4段30巷28弄25號
勝源小吃店,臺北市信義區林口街116號1樓
卓木鳥日式料理,臺北市中正區中華路2段383之1號
港墘早餐吧,臺北市內湖區港墘路33號
寵愛音樂餐廳,臺北市中山區林森北路85巷26號1樓
百悅商行,臺北市大安區忠孝東路4段107號9樓、9樓之3
郭大媽小吃店,臺北市中山區樂群二路162號1樓
郭董麻辣牛肉麵店,臺北市大安區和平東路2段118巷59號
戴宏毅早餐店,臺北市松山區民生東路5段69巷13號
港元燒臘店,臺北市大安區延吉街70巷2弄1號
左美商行,臺北市南港區昆陽街140巷3號
晶采音樂坊,臺北市中山區新生北路1段98之2號1樓
陳老董飯麵館,臺北市士林區名山里至誠路2段27號1樓
古早味蚵嗲小吃店,臺北市士林區美崙街20號
午后日光飲料店,臺北市信義區永吉路120巷45號1樓
四號站複合式餐廳,臺北市北投區大業路733號
君悅餐廳,臺北市信義區松信路131號1樓
福杯滿溢早餐店,臺北市中山區民生東路2段147巷8號
阿霜專業越南河粉,臺北市大安區信義路3段168號
玖富食品商行,臺北市信義區忠孝東路4段553巷16弄4號
小英北越河粉,臺北市中山區四平街116號
珍美味小吃店,臺北市大安區復興南路2段136號1樓
鋐勝商行,臺北市中山區明水路575號
凱得利餐坊,臺北市內湖區成功路2段177號1樓
安妞餐飲,臺北市中山區中山北路2段50巷19號1樓
世民小吃店,臺北市中正區博愛路197號1樓
小豆豆早餐店,臺北市萬華區中華路1段144號之27
香港小吃店,臺北市大安區市民大道4段60之1號1樓
奕玲小吃店,臺北市萬華區西園路1段220巷50之2號1樓
八方資訊社,臺北市中山區林森北路416巷3之2號
通化米粉湯,臺北市中山區林森北路96之6號
天天來飲酒店,臺北市萬華區西園路1段212巷23號25號1樓
修圓素食小吃,臺北市中正區忠孝西路1段72之33號1樓
一定香小吃店,臺北市北投區中央北路1段114號1樓
古色古香小舖,臺北市松山區民生東路4段55巷4號1樓
福州融旺麵餃店,臺北市中正區和平西路1段68號1樓
客滿軒小吃店,臺北市內湖區金湖路342號
